;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
с;0.00262;0.00000;0.00000;0.00000;0.00087;0.00087;0.00000;0.00000;0.00000;0.00175;0.00000;0.00175;0.00699;0.00175;0.00175;0.00087;0.00175;0.00000;0.00087;0.00961;0.00175;0.00087;0.00262;0.00000;0.00000;0.00087;0.00000;0.00000;0.00087;0.00087;0.00000;0.00000;0.00349;
т;0.00873;0.00087;0.00000;0.00000;0.00175;0.00524;0.00000;0.00000;0.00000;0.00524;0.00000;0.00087;0.00000;0.00175;0.00524;0.01747;0.00000;0.00524;0.00524;0.00087;0.00087;0.00087;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00349;0.00786;0.00000;0.00000;0.00087;
у;0.00087;0.00087;0.00087;0.00000;0.00786;0.00000;0.00000;0.00000;0.00175;0.00175;0.00087;0.00087;0.00087;0.00175;0.00175;0.00087;0.00524;0.00000;0.00087;0.00611;0.00000;0.00175;0.00000;0.00000;0.00437;0.00175;0.00000;0.00000;0.00000;0.00000;0.00087;0.00175;0.00000;
ф;0.00000;0.00000;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
х;0.00087;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00786;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ц;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ч;0.00349;0.00000;0.00000;0.00000;0.00000;0.00611;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00437;0.00000;0.00000;0.00000;0.00000;0.00437;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ш;0.00349;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00087;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00262;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00262;0.00000;0.00000;0.00000;
щ;0.00175;0.00000;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ъ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ы;0.00087;0.00087;0.00175;0.00000;0.00000;0.00175;0.00000;0.00000;0.00087;0.00087;0.00087;0.00087;0.00087;0.00087;0.00087;0.00087;0.00000;0.00087;0.00000;0.00175;0.00000;0.00000;0.00175;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ь;0.00087;0.00000;0.00175;0.00000;0.00087;0.00087;0.00000;0.00087;0.00000;0.00000;0.00000;0.00349;0.00000;0.00175;0.00175;0.00175;0.00000;0.00000;0.00087;0.00175;0.00000;0.00000;0.00087;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00524;
э;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ю;0.00000;0.00087;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00087;0.00000;0.00087;0.00087;0.00000;0.00262;0.00087;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;
я;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00175;0.00000;0.00087;0.00087;0.00000;0.00262;0.00087;0.00349;0.00000;0.00175;0.00175;0.00087;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
