Char;Count
а;82
б;20
в;38
г;14
д;50
е;91
ё;0
ж;12
з;10
и;70
й;15
к;28
л;46
м;41
н;86
о;134
п;37
р;46
с;49
т;85
у;50
ф;5
х;13
ц;0
ч;23
ш;13
щ;5
ъ;0
ы;20
ь;27
э;3
ю;12
я;21
