Char;Count
а;125
б;33
в;63
г;19
д;51
е;122
ё;0
ж;19
з;28
и;119
й;0
к;53
л;85
м;38
н;72
о;160
п;40
р;60
с;88
т;82
у;52
ф;0
х;9
ц;3
ч;27
ш;27
щ;4
ъ;0
ы;22
ь;34
э;4
ю;7
я;53
