Char;Count
a;101
b;16
c;20
d;50
e;129
f;23
g;23
h;60
i;76
j;0
k;17
l;58
m;35
n;81
o;80
p;26
q;2
r;89
s;73
t;114
u;29
v;11
w;20
x;0
y;38
z;0
