;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
с;0.03411;0.01137;0.04548;0.00000;0.01137;0.05686;0.00000;0.00000;0.00000;0.02274;0.00000;0.09097;0.10234;0.01137;0.01137;0.07960;0.02274;0.00000;0.03411;0.21605;0.05686;0.00000;0.01137;0.00000;0.02274;0.00000;0.00000;0.00000;0.01137;0.02274;0.01137;0.00000;0.11371;
т;0.06102;0.00000;0.08542;0.00000;0.01220;0.06102;0.00000;0.00000;0.00000;0.08542;0.00000;0.00000;0.02441;0.00000;0.00000;0.30508;0.02441;0.02441;0.04881;0.00000;0.01220;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01220;0.23186;0.00000;0.00000;0.01220;
у;0.00000;0.00000;0.03849;0.01924;0.07697;0.01924;0.00000;0.03849;0.01924;0.03849;0.00000;0.05773;0.05773;0.05773;0.00000;0.00000;0.03849;0.00000;0.09622;0.03849;0.00000;0.00000;0.00000;0.00000;0.03849;0.25017;0.01924;0.00000;0.00000;0.00000;0.00000;0.05773;0.03849;
ф;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
х;0.22237;0.00000;0.22237;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.11119;0.00000;0.00000;0.00000;0.00000;0.11119;0.22237;0.11119;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ц;0.00000;0.00000;0.33356;0.00000;0.00000;0.33356;0.00000;0.00000;0.00000;0.33356;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ч;0.22237;0.00000;0.00000;0.00000;0.00000;0.33356;0.00000;0.00000;0.00000;0.03706;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.33356;0.07412;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ш;0.22237;0.00000;0.00000;0.00000;0.00000;0.11119;0.00000;0.00000;0.00000;0.22237;0.00000;0.29649;0.07412;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.07412;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
щ;0.25017;0.00000;0.00000;0.00000;0.00000;0.75050;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ъ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ы;0.00000;0.00000;0.04548;0.00000;0.04548;0.04548;0.00000;0.00000;0.00000;0.18194;0.00000;0.00000;0.18194;0.09097;0.04548;0.00000;0.09097;0.00000;0.09097;0.00000;0.00000;0.00000;0.04548;0.00000;0.00000;0.09097;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.04548;
ь;0.00000;0.00000;0.02943;0.02943;0.08829;0.05886;0.00000;0.00000;0.05886;0.00000;0.00000;0.05886;0.05886;0.00000;0.00000;0.05886;0.02943;0.02943;0.29431;0.00000;0.00000;0.00000;0.00000;0.02943;0.00000;0.05886;0.00000;0.00000;0.00000;0.00000;0.00000;0.02943;0.08829;
э;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ю;0.00000;0.14295;0.00000;0.00000;0.14295;0.14295;0.00000;0.00000;0.00000;0.00000;0.00000;0.28591;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.28591;
я;0.00000;0.03776;0.09440;0.03776;0.03776;0.01888;0.00000;0.00000;0.05664;0.00000;0.00000;0.00000;0.09440;0.01888;0.01888;0.07552;0.18881;0.07552;0.05664;0.01888;0.01888;0.00000;0.01888;0.00000;0.03776;0.01888;0.00000;0.00000;0.00000;0.00000;0.01888;0.00000;0.05664;
