Char;Probability
а;0.083389
б;0.022015
в;0.042028
г;0.012675
д;0.034023
е;0.081388
ё;0.000000
ж;0.012675
з;0.018679
и;0.079386
й;0.000000
к;0.035357
л;0.056704
м;0.025350
н;0.048032
о;0.106738
п;0.026684
р;0.040027
с;0.058706
т;0.054703
у;0.034690
ф;0.000000
х;0.006004
ц;0.002001
ч;0.018012
ш;0.018012
щ;0.002668
ъ;0.000000
ы;0.014676
ь;0.022682
э;0.002668
ю;0.004670
я;0.035357
