;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
с;0.00212;0.00053;0.00159;0.00000;0.00000;0.00159;0.00000;0.00000;0.00000;0.00212;0.00000;0.00106;0.00159;0.00053;0.00212;0.00424;0.00318;0.00000;0.00053;0.01379;0.00212;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00212;0.00053;0.00000;0.00053;0.00690;
т;0.00743;0.00000;0.00902;0.00000;0.00000;0.01592;0.00000;0.00000;0.00000;0.00955;0.00000;0.00212;0.00053;0.00106;0.00424;0.01592;0.00265;0.00159;0.00477;0.00053;0.00106;0.00000;0.00000;0.00053;0.00053;0.00000;0.00000;0.00000;0.00159;0.00424;0.00000;0.00000;0.00000;
у;0.00000;0.00159;0.00106;0.00053;0.00159;0.00106;0.00000;0.00000;0.00000;0.00159;0.00000;0.00053;0.00106;0.00053;0.00212;0.00000;0.00106;0.00000;0.00265;0.00318;0.00000;0.00000;0.00106;0.00000;0.00265;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00318;0.00053;
ф;0.00000;0.00000;0.00053;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
х;0.00000;0.00053;0.00053;0.00000;0.00106;0.00106;0.00000;0.00053;0.00000;0.00106;0.00000;0.00159;0.00000;0.00053;0.00106;0.00212;0.00053;0.00053;0.00106;0.00106;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;
ц;0.00000;0.00000;0.00000;0.00000;0.00000;0.00159;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ч;0.00159;0.00000;0.00106;0.00000;0.00000;0.00371;0.00000;0.00000;0.00000;0.00106;0.00000;0.00053;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00531;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ш;0.00053;0.00000;0.00000;0.00000;0.00000;0.00159;0.00000;0.00000;0.00000;0.00159;0.00000;0.00000;0.00053;0.00000;0.00053;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
щ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00265;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ъ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ы;0.00000;0.00053;0.00477;0.00000;0.00000;0.00849;0.00000;0.00000;0.00159;0.00000;0.00212;0.00053;0.00053;0.00053;0.00159;0.00053;0.00159;0.00000;0.00106;0.00000;0.00000;0.00000;0.00424;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ь;0.00106;0.00000;0.00053;0.00000;0.00053;0.00000;0.00000;0.00000;0.00212;0.00053;0.00000;0.00106;0.00000;0.00053;0.00212;0.00053;0.00053;0.00000;0.00159;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00159;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
э;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00212;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ю;0.00000;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00053;0.00000;0.00000;0.00106;0.00796;0.00000;0.00000;0.00000;0.00053;0.00053;0.00000;0.00053;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;
я;0.00053;0.00053;0.00159;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00265;0.00000;0.00000;0.00053;0.00159;0.00053;0.00106;0.00106;0.00000;0.00265;0.00212;0.00000;0.00053;0.00106;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;
