;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
с;0.04447;0.01112;0.03335;0.00000;0.00000;0.03335;0.00000;0.00000;0.00000;0.04447;0.00000;0.02223;0.03335;0.01112;0.04447;0.08894;0.06670;0.00000;0.01112;0.28904;0.04447;0.00000;0.01112;0.00000;0.00000;0.00000;0.00000;0.00000;0.04447;0.01112;0.00000;0.01112;0.14452;
т;0.08922;0.00000;0.10834;0.00000;0.00000;0.19118;0.00000;0.00000;0.00000;0.11471;0.00000;0.02549;0.00637;0.01275;0.05098;0.19118;0.03186;0.01912;0.05736;0.00637;0.01275;0.00000;0.00000;0.00637;0.00637;0.00000;0.00000;0.00000;0.01912;0.05098;0.00000;0.00000;0.00000;
у;0.00000;0.05885;0.03924;0.01962;0.05885;0.03924;0.00000;0.00000;0.00000;0.05885;0.00000;0.01962;0.03924;0.01962;0.07847;0.00000;0.03924;0.00000;0.09809;0.11771;0.00000;0.00000;0.03924;0.00000;0.09809;0.00000;0.03924;0.00000;0.00000;0.00000;0.00000;0.11771;0.01962;
ф;0.00000;0.00000;0.33351;0.00000;0.00000;0.33351;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.33351;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
х;0.00000;0.03573;0.03573;0.00000;0.07147;0.07147;0.00000;0.03573;0.00000;0.07147;0.00000;0.10720;0.00000;0.03573;0.07147;0.14293;0.03573;0.03573;0.07147;0.07147;0.07147;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.03573;0.00000;0.00000;
ц;0.00000;0.00000;0.00000;0.00000;0.00000;0.60032;0.00000;0.00000;0.00000;0.40021;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ч;0.11117;0.00000;0.07411;0.00000;0.00000;0.25940;0.00000;0.00000;0.00000;0.07411;0.00000;0.03706;0.00000;0.00000;0.07411;0.00000;0.00000;0.00000;0.00000;0.37057;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ш;0.10005;0.00000;0.00000;0.00000;0.00000;0.30016;0.00000;0.00000;0.00000;0.30016;0.00000;0.00000;0.10005;0.00000;0.10005;0.10005;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
щ;0.00000;0.00000;0.00000;0.00000;0.00000;0.71466;0.00000;0.00000;0.00000;0.28587;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ъ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ы;0.00000;0.01853;0.16676;0.00000;0.00000;0.29645;0.00000;0.00000;0.05559;0.00000;0.07411;0.01853;0.01853;0.01853;0.05559;0.01853;0.05559;0.00000;0.03706;0.00000;0.00000;0.00000;0.14823;0.00000;0.01853;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ь;0.08338;0.00000;0.04169;0.00000;0.04169;0.00000;0.00000;0.00000;0.16676;0.04169;0.00000;0.08338;0.00000;0.04169;0.16676;0.04169;0.04169;0.00000;0.12507;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.12507;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
э;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.20011;0.00000;0.00000;0.00000;0.00000;0.80042;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ю;0.00000;0.00000;0.00000;0.00000;0.07696;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.03848;0.00000;0.03848;0.00000;0.00000;0.07696;0.57723;0.00000;0.00000;0.00000;0.03848;0.03848;0.00000;0.03848;0.00000;0.00000;0.00000;0.07696;0.00000;0.00000;
я;0.02943;0.02943;0.08828;0.00000;0.02943;0.00000;0.00000;0.00000;0.00000;0.14714;0.00000;0.00000;0.02943;0.08828;0.02943;0.05885;0.05885;0.00000;0.14714;0.11771;0.00000;0.02943;0.05885;0.00000;0.02943;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.02943;0.00000;
