Char;Count
а;143
б;43
в;93
г;16
д;45
е;162
ё;0
ж;20
з;41
и;170
й;12
к;73
л;59
м;62
н;117
о;181
п;42
р;86
с;90
т;157
у;51
ф;3
х;28
ц;5
ч;27
ш;10
щ;7
ъ;0
ы;54
ь;24
э;5
ю;26
я;34
