Символ,Вероятность
А,0.03650
Б,0.01551
В,0.04015
Г,0.03467
Д,0.04288
Е,0.07482
Ж,0.02464
З,0.01916
И,0.02828
Й,0.02920
К,0.04562
Л,0.04106
М,0.06113
Н,0.04197
О,0.05839
П,0.03558
Р,0.02646
С,0.03741
Т,0.04106
У,0.04015
Ф,0.01825
Х,0.02190
Ц,0.02099
Ч,0.02464
Ш,0.01916
Щ,0.01460
Ъ,0.01004
Ы,0.02281
Ь,0.01277
Э,0.03193
Ю,0.00730
Я,0.02099
