Символ,Вероятность
А,0.06113
Б,0.02920
В,0.05018
Г,0.02646
Д,0.02190
Е,0.04927
Ж,0.00730
З,0.01004
И,0.04288
Й,0.01460
К,0.03467
Л,0.02555
М,0.02920
Н,0.04745
О,0.05931
П,0.02190
Р,0.03376
С,0.06022
Т,0.05109
У,0.03467
Ф,0.03923
Х,0.02099
Ц,0.01460
Ч,0.00821
Ш,0.01369
Щ,0.03832
Ъ,0.01004
Ы,0.02281
Ь,0.02737
Э,0.03193
Ю,0.01004
Я,0.05201
