Символ,Вероятность
А,0.03558
Б,0.02737
В,0.03467
Г,0.02646
Д,0.03102
Е,0.02920
Ж,0.02920
З,0.03558
И,0.02920
Й,0.02646
К,0.02646
Л,0.02464
М,0.03102
Н,0.03558
О,0.03923
П,0.03011
Р,0.02737
С,0.03285
Т,0.03376
У,0.03285
Ф,0.03376
Х,0.03741
Ц,0.02646
Ч,0.02646
Ш,0.04288
Щ,0.02555
Ъ,0.03467
Ы,0.03102
Ь,0.03923
Э,0.02828
Ю,0.03285
Я,0.02281
