Символ,Вероятность
А,0.07026
Б,0.01460
В,0.04106
Г,0.02099
Д,0.02920
Е,0.09307
Ж,0.00912
З,0.01551
И,0.07482
Й,0.01460
К,0.04288
Л,0.04471
М,0.04197
Н,0.07208
О,0.11770
П,0.02828
Р,0.04015
С,0.06022
Т,0.05018
У,0.02464
Ф,0.00000
Х,0.01369
Ц,0.00365
Ч,0.00639
Ш,0.00912
Щ,0.00274
Ъ,0.00000
Ы,0.02007
Ь,0.01642
Э,0.00274
Ю,0.00182
Я,0.01734
