Символ,Вероятность
А,0.03741
Б,0.02190
В,0.03650
Г,0.02828
Д,0.03285
Е,0.06661
Ж,0.02464
З,0.01551
И,0.02464
Й,0.01095
К,0.03193
Л,0.01825
М,0.03650
Н,0.03193
О,0.04653
П,0.02190
Р,0.03558
С,0.04106
Т,0.03832
У,0.02646
Ф,0.01734
Х,0.02372
Ц,0.02920
Ч,0.03193
Ш,0.03285
Щ,0.01551
Ъ,0.01277
Ы,0.05201
Ь,0.02828
Э,0.06296
Ю,0.02828
Я,0.03741
