Символ,Вероятность
А,0.02281
Б,0.02281
В,0.04288
Г,0.03102
Д,0.03832
Е,0.05292
Ж,0.02007
З,0.02737
И,0.03285
Й,0.05657
К,0.02281
Л,0.03558
М,0.03832
Н,0.03011
О,0.03741
П,0.04197
Р,0.03558
С,0.03011
Т,0.03558
У,0.02920
Ф,0.02737
Х,0.02007
Ц,0.01916
Ч,0.03650
Ш,0.02190
Щ,0.03558
Ъ,0.03741
Ы,0.01004
Ь,0.02828
Э,0.01916
Ю,0.03285
Я,0.02737
