Символ,Вероятность
А,0.02646
Б,0.02372
В,0.02828
Г,0.02464
Д,0.03376
Е,0.02920
Ж,0.02555
З,0.03650
И,0.04288
Й,0.03193
К,0.02920
Л,0.03193
М,0.03285
Н,0.03741
О,0.04197
П,0.03467
Р,0.03650
С,0.03102
Т,0.03467
У,0.02646
Ф,0.03467
Х,0.03467
Ц,0.03285
Ч,0.02555
Ш,0.03011
Щ,0.02828
Ъ,0.03467
Ы,0.02737
Ь,0.03285
Э,0.02646
Ю,0.03011
Я,0.02281
