symbol,index(1..),probability
a,1,0.0850277264
b,2,0.0064695009
c,3,0.0231053604
d,4,0.0323475046
e,5,0.1090573013
f,6,0.0221811460
g,7,0.0221811460
h,8,0.0443622921
i,9,0.0896487985
j,10,0.0046210721
k,11,0.0055452865
l,12,0.0434380776
m,13,0.0231053604
n,14,0.0878003697
o,15,0.0804066543
p,16,0.0221811460
q,17,0.0000000000
r,18,0.0425138632
s,19,0.0748613678
t,20,0.1035120148
u,21,0.0203327172
v,22,0.0221811460
w,23,0.0157116451
x,24,0.0027726433
y,25,0.0157116451
z,26,0.0009242144
